model_key,model_name,family,scope,group,n,n_pos,n_neg,label_rate,auroc,var_auroc,ci_low,ci_high,ci_width,method,alpha,note
multi_layer_probe_L_spread_5_P_ans_last_think_oof,multi_layer_probe_L_spread_5_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7636904752026513,3.642840248544137e-05,0.7516572436141167,0.7753149350232021,0.02365769140908547,logit,0.05,
multi_layer_probe_L_pair_adjacent_P_ans_last_think_oof,multi_layer_probe_L_pair_adjacent_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7633190481011062,3.655929068770768e-05,0.7512643726556918,0.7749645053542993,0.02370013269860749,logit,0.05,
multi_layer_probe_L_late_3_P_all_pos_oof,multi_layer_probe_L_late_3_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7616750605111898,3.638272058785691e-05,0.749652289950416,0.7732950550709047,0.023642765120488685,logit,0.05,
multi_layer_probe_L_spread_6_P_all_pos_oof,multi_layer_probe_L_spread_6_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7610474410218155,3.6333935916675126e-05,0.7490337255084023,0.7726606089928731,0.02362688348447084,logit,0.05,
multi_layer_probe_L_pair_adjacent_P_all_pos_oof,multi_layer_probe_L_pair_adjacent_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7610246222666243,3.6447953928072044e-05,0.7489917910297224,0.7726557109823942,0.023663919952671808,logit,0.05,
multi_layer_probe_L_single_best_P_all_pos_oof,multi_layer_probe_L_single_best_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7609581885725333,3.687536689302514e-05,0.7488539311846888,0.7726561752339393,0.023802244049250465,logit,0.05,
multi_layer_probe_L_spread_5_P_all_pos_oof,multi_layer_probe_L_spread_5_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7608427982763957,3.6430025723154945e-05,0.7488132241877419,0.7724713163160891,0.02365809212834724,logit,0.05,
multi_layer_probe_L_all_P_all_pos_oof,multi_layer_probe_L_all_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7604309716060006,3.679911062782157e-05,0.748340170677367,0.7721177711765727,0.02377760049920563,logit,0.05,
multi_layer_probe_L_spread_3_P_all_pos_oof,multi_layer_probe_L_spread_3_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.756403046428284,3.722310865288508e-05,0.7442471528202252,0.7681611514836773,0.023913998663452007,logit,0.05,
multi_layer_probe_L_single_last_P_ans_last_think_oof,multi_layer_probe_L_single_last_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7549970999436584,3.731815377911118e-05,0.7428273385466395,0.7667717858194426,0.023944447272803093,logit,0.05,
multi_layer_probe_L_single_last_P_ans_last_oof,multi_layer_probe_L_single_last_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.75353192841715,3.7796223674322704e-05,0.7412851852033481,0.7653824321441376,0.02409724694078952,logit,0.05,
multi_layer_probe_L_single_last_P_answer_oof,multi_layer_probe_L_single_last_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.753024937165446,3.805951675041294e-05,0.7407356122162817,0.7649166112917053,0.024180999075423593,logit,0.05,
multi_layer_probe_L_single_last_P_all_pos_oof,multi_layer_probe_L_single_last_P_all_pos_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7468312009552346,3.8317216787625685e-05,0.7345078931351067,0.7587703608584508,0.024262467723344172,logit,0.05,
probe_rf_genunc_qwen,Generation-uncertainty RF only (Qwen),genunc,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.6904310045248543,9.729870408951202e-05,0.6707726842541628,0.7094240058134057,0.03865132155924289,logit,0.05,
probe_lr_genunc_qwen,Generation-uncertainty LR only (Qwen),genunc,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.5824457980795028,0.0001192037599190675,0.5609044475672624,0.6036770648599716,0.0427726172927092,logit,0.05,
probe_mlp_h_answer_qwen,Probe MLP h_answer (Qwen only),hidden,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.797379977924905,6.867217108380756e-05,0.7806520147148635,0.8131375929739183,0.03248557825905485,logit,0.05,
probe_mlp_concat_qwen,Probe MLP concat (Qwen only),hidden,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.7805857552617411,7.269028910535281e-05,0.7634190401663175,0.7968383167225697,0.03341927655625221,logit,0.05,
probe_mlp_hidden_plus_genunc_qwen,Probe MLP hidden+genunc (Qwen only),hidden,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.7772206987325727,7.247730925069285e-05,0.7600904380356137,0.7934601753345429,0.033369737298929225,logit,0.05,
probe_linear_concat_qwen,Probe Linear concat (Qwen only),hidden,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.7288267699238535,9.372762860123638e-05,0.7094407549833328,0.7473799248540182,0.03793916987068535,logit,0.05,
probe_linear_h_answer_qwen,Probe Linear h_answer (Qwen only),hidden,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.7274511277924726,9.412905436114545e-05,0.7080266804577982,0.7460468114657399,0.03802013100794177,logit,0.05,
probe_linear_h_last_qwen,Probe Linear h_last (Qwen only),hidden,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.72240095466683,9.527590021214467e-05,0.7028703007428111,0.7411206728276803,0.038250372084869255,logit,0.05,
probe_linear_h_think_qwen,Probe Linear h_think (Qwen only),hidden,qwen_only_4,OVERALL,3189,2161,1028,0.6776418940106617,0.72240095466683,9.527590021214467e-05,0.7028703007428111,0.7411206728276803,0.038250372084869255,logit,0.05,
