variant,clf,group,auroc,auprc,ece,accuracy,accuracy_at_80,accuracy_at_90,prr,n_samples
C+rec+ngram,rf,math500_qwen7b,0.6199767152434863,0.7907192941622888,0.07999620737437019,0.7094188376753507,0.7593984962406015,0.7483296213808464,,499
C+rec+ngram,xgb,arc_challenge_llama8b,0.5557033024694376,0.6926557765652663,0.09765198037079345,0.6044520547945206,0.6691648822269807,0.6660323501427212,,1168
C+rec+ngram,xgb,arc_challenge_qwen7b,0.6187843137254901,0.7792720468672039,0.0932608476172445,0.6944206008583691,0.75,0.7337786259541985,,1165
C+rec+ngram,xgb,gpqa_diamond_llama8b,0.6536151536151535,0.589966922169439,0.13555787261279803,0.6137566137566137,0.44370860927152317,0.4235294117647059,,189
C+rec+ngram,xgb,gpqa_diamond_qwen7b,0.6907634927599825,0.6101923920899293,0.13371680659959867,0.6510416666666666,0.5032679738562091,0.4883720930232558,,192
C+rec+ngram,xgb,gsm8k_llama8b,0.5830764881186881,0.5359355149059276,0.052932954663756755,0.5754359363153905,0.4767772511848341,0.4658803706823926,,1319
C+rec+ngram,xgb,gsm8k_qwen7b,0.6757560221503176,0.8087316501757609,0.16699570070313394,0.5933232169954477,0.7210626185958254,0.693929173693086,,1318
C+rec+ngram,xgb,math500_llama8b,0.5915512465373962,0.6841686615942681,0.12081560017427934,0.5910931174089069,0.6379746835443038,0.6373873873873874,,494
C+rec+ngram,xgb,math500_qwen7b,0.6015295676261592,0.7804216416003262,0.10206030464482926,0.6933867735470942,0.7518796992481203,0.7438752783964365,,499
C+rec+graph,lr,arc_challenge_llama8b,0.5577907708152046,0.7004804349262008,0.11155392058601936,0.6138698630136986,0.6852248394004282,0.6669838249286394,,1168
C+rec+graph,lr,arc_challenge_qwen7b,0.6344527629233512,0.7959370252420043,0.11807463069570294,0.7055793991416309,0.7510729613733905,0.732824427480916,,1165
C+rec+graph,lr,gpqa_diamond_llama8b,0.6957726957726957,0.5658779095463455,0.10280837164945388,0.6613756613756614,0.45695364238410596,0.43529411764705883,,189
C+rec+graph,lr,gpqa_diamond_qwen7b,0.7148968845985081,0.6759181706853173,0.093533902070097,0.6927083333333334,0.49019607843137253,0.46511627906976744,,192
C+rec+graph,lr,gsm8k_llama8b,0.5664027920040415,0.5224541108055862,0.0301236784349706,0.5617892342683851,0.4777251184834123,0.4667228306655434,,1319
C+rec+graph,lr,gsm8k_qwen7b,0.6640700816380981,0.8022332648100139,0.1967931886702459,0.5379362670713201,0.713472485768501,0.6964586846543002,,1318
C+rec+graph,lr,math500_llama8b,0.6275796398891966,0.7109464609821337,0.09362653788906873,0.6012145748987854,0.6531645569620254,0.6441441441441441,,494
C+rec+graph,lr,math500_qwen7b,0.5885422939499778,0.7726799987459908,0.12002673317568155,0.6773547094188377,0.7468671679197995,0.7416481069042317,,499
C+rec+graph,rf,arc_challenge_llama8b,0.5849408958025754,0.7234303246038617,0.043064586945796665,0.6455479452054794,0.6862955032119914,0.6669838249286394,,1168
C+rec+graph,rf,arc_challenge_qwen7b,0.639144385026738,0.7876439850903224,0.06870102373315537,0.7072961373390558,0.7457081545064378,0.7347328244274809,,1165
C+rec+graph,rf,gpqa_diamond_llama8b,0.6812196812196812,0.5975235598027748,0.0942762515177487,0.656084656084656,0.4503311258278146,0.4411764705882353,,189
C+rec+graph,rf,gpqa_diamond_qwen7b,0.7313514699429574,0.6587225337363464,0.10627950323396364,0.7135416666666666,0.5098039215686274,0.48255813953488375,,192
C+rec+graph,rf,gsm8k_llama8b,0.5896046051381402,0.5304094695618629,0.04373482462806716,0.5716451857467779,0.4872037914691943,0.4717775905644482,,1319
C+rec+graph,rf,gsm8k_qwen7b,0.6705153323201595,0.8125842554131735,0.15333183116543816,0.6054628224582701,0.722011385199241,0.6981450252951096,,1318
C+rec+graph,rf,math500_llama8b,0.6122576177285319,0.7064001109964793,0.08897472658620675,0.5931174089068826,0.6531645569620254,0.6351351351351351,,494
C+rec+graph,rf,math500_qwen7b,0.6052631578947368,0.7761712337245322,0.07859130914440618,0.7074148296593187,0.7543859649122807,0.7416481069042317,,499
C+rec+graph,xgb,arc_challenge_llama8b,0.5733612314270724,0.7116621268382219,0.08658952971486604,0.5976027397260274,0.6702355460385439,0.6717411988582302,,1168
C+rec+graph,xgb,arc_challenge_qwen7b,0.6176399286987522,0.7893107278750638,0.09047566320699174,0.6789699570815451,0.7414163090128756,0.7318702290076335,,1165
C+rec+graph,xgb,gpqa_diamond_llama8b,0.6405636405636405,0.5699346279209336,0.14470894363703865,0.6243386243386243,0.44370860927152317,0.43529411764705883,,189
C+rec+graph,xgb,gpqa_diamond_qwen7b,0.7139096094778412,0.6334340832460222,0.13129340947489251,0.7083333333333334,0.5032679738562091,0.4941860465116279,,192
C+rec+graph,xgb,gsm8k_llama8b,0.5817069044628498,0.5312077117043733,0.0689504780694334,0.5686125852918877,0.4786729857819905,0.4675652906486942,,1319
C+rec+graph,xgb,gsm8k_qwen7b,0.6736934896167116,0.8063180198956297,0.15956587642318204,0.5978755690440061,0.7229601518026565,0.6947723440134908,,1318
C+rec+graph,xgb,math500_llama8b,0.6112707756232687,0.7042519944978031,0.11182777546647829,0.5870445344129555,0.6455696202531646,0.6396396396396397,,494
C+rec+graph,xgb,math500_qwen7b,0.5753944357461159,0.7690300517147942,0.11109518316501606,0.6753507014028056,0.7443609022556391,0.7416481069042317,,499
C+rec+timing,lr,arc_challenge_llama8b,0.5645094530865525,0.7042406247305517,0.119941674357867,0.5881849315068494,0.6820128479657388,0.6717411988582302,,1168
C+rec+timing,lr,arc_challenge_qwen7b,0.661372549019608,0.8164735622480984,0.11738388752284991,0.6866952789699571,0.7564377682403434,0.7347328244274809,,1165
C+rec+timing,lr,gpqa_diamond_llama8b,0.6688611688611689,0.5904977156193778,0.09100393038464796,0.6402116402116402,0.4503311258278146,0.43529411764705883,,189
C+rec+timing,lr,gpqa_diamond_qwen7b,0.723672663448881,0.627924658404162,0.11825881681033934,0.6666666666666666,0.5032679738562091,0.47674418604651164,,192
C+rec+timing,lr,gsm8k_llama8b,0.5959565997246928,0.5509996115525404,0.039822685158754305,0.5655799848369977,0.48530805687203793,0.4700926705981466,,1319
C+rec+timing,lr,gsm8k_qwen7b,0.6815957226972746,0.8256430436203007,0.18940450393273997,0.5614567526555387,0.7239089184060721,0.693929173693086,,1318
C+rec+timing,lr,math500_llama8b,0.6167763157894737,0.7196690883339241,0.1004251135910978,0.5951417004048583,0.6430379746835443,0.6463963963963963,,494
C+rec+timing,lr,math500_qwen7b,0.603597093420049,0.7897382350214861,0.1152958652015798,0.685370741482966,0.7593984962406015,0.7416481069042317,,499
C+rec+timing,rf,arc_challenge_llama8b,0.6047628824988349,0.7343001583443858,0.047577779867673614,0.6498287671232876,0.6916488222698073,0.6745956232159848,,1168
C+rec+timing,rf,arc_challenge_qwen7b,0.6674652406417112,0.804767695089635,0.06734909463849702,0.7107296137339055,0.7553648068669528,0.7366412213740458,,1165
C+rec+timing,rf,gpqa_diamond_llama8b,0.6893046893046892,0.629499222141757,0.05161416211298532,0.656084656084656,0.4503311258278146,0.4411764705882353,,189
C+rec+timing,rf,gpqa_diamond_qwen7b,0.750329091706889,0.6768483993259176,0.07421261724084616,0.7083333333333334,0.5228758169934641,0.48255813953488375,,192
C+rec+timing,rf,gsm8k_llama8b,0.6007443490190443,0.5492013372976724,0.01917619260989689,0.5799848369977255,0.48625592417061614,0.4700926705981466,,1319
C+rec+timing,rf,gsm8k_qwen7b,0.678976031724026,0.8183564315922938,0.1545547413355664,0.6016691957511381,0.7182163187855788,0.6981450252951096,,1318
C+rec+timing,rf,math500_llama8b,0.6063538781163434,0.6899704820221392,0.07251639676238844,0.5991902834008097,0.6531645569620254,0.6418918918918919,,494
C+rec+timing,rf,math500_qwen7b,0.6339475691517122,0.793020929248717,0.07236601403337682,0.7154308617234469,0.7644110275689223,0.755011135857461,,499
C+rec+timing,xgb,arc_challenge_llama8b,0.5755057344270951,0.7160015339484387,0.10393429731261238,0.6113013698630136,0.6820128479657388,0.6688867745004757,,1168
C+rec+timing,xgb,arc_challenge_qwen7b,0.6323743315508021,0.7873980156274653,0.08619188853407622,0.6824034334763949,0.7510729613733905,0.7347328244274809,,1165
C+rec+timing,xgb,gpqa_diamond_llama8b,0.6695541695541695,0.5577786694378124,0.13834985225367802,0.6402116402116402,0.4768211920529801,0.45294117647058824,,189
C+rec+timing,xgb,gpqa_diamond_qwen7b,0.7464896884598509,0.6918796401075771,0.09649299511026278,0.7135416666666666,0.5163398692810458,0.48255813953488375,,192
C+rec+timing,xgb,gsm8k_llama8b,0.5949021825277276,0.5511896011825522,0.05042809699863264,0.5943896891584534,0.4720379146919431,0.45998315080033697,,1319
C+rec+timing,xgb,gsm8k_qwen7b,0.6814256978213273,0.8188872592842456,0.15397021693371132,0.5993930197268589,0.722011385199241,0.6981450252951096,,1318
C+rec+timing,xgb,math500_llama8b,0.610180055401662,0.6985028951617896,0.11593978359601516,0.6194331983805668,0.6506329113924051,0.6328828828828829,,494
C+rec+timing,xgb,math500_qwen7b,0.5972941507085792,0.7640955576003985,0.09941494744830957,0.7034068136272545,0.7568922305764411,0.7527839643652561,,499
C+rec+structural_ph,lr,arc_challenge_llama8b,0.5638266667970316,0.6983865758509425,0.12315133879956318,0.6001712328767124,0.6766595289079229,0.6698382492863939,,1168
C+rec+structural_ph,lr,arc_challenge_qwen7b,0.6222459893048129,0.7853689465747384,0.12292711241230725,0.6781115879828327,0.7424892703862661,0.732824427480916,,1165
C+rec+structural_ph,lr,gpqa_diamond_llama8b,0.6978516978516979,0.5611239079296029,0.11295491038136697,0.6507936507936508,0.46357615894039733,0.4470588235294118,,189
C+rec+structural_ph,lr,gpqa_diamond_qwen7b,0.7260860026327337,0.6650392285093165,0.11480319774515615,0.6666666666666666,0.49673202614379086,0.47093023255813954,,192
C+rec+structural_ph,lr,gsm8k_llama8b,0.5662127651685446,0.5244083237475047,0.02088021015334619,0.5670962850644428,0.4729857819905213,0.46082561078348777,,1319
C+rec+structural_ph,lr,gsm8k_qwen7b,0.6536567119281605,0.7990671364227577,0.19289191597462121,0.5409711684370258,0.7125237191650854,0.688026981450253,,1318
C+rec+structural_ph,lr,math500_llama8b,0.618126731301939,0.7029824350052774,0.09071335884618012,0.5931174089068826,0.6556962025316456,0.6418918918918919,,494
C+rec+structural_ph,lr,math500_qwen7b,0.5967722509936167,0.7780929403564248,0.1324469960081897,0.6653306613226453,0.7493734335839599,0.7505567928730512,,499
C+rec+structural_ph,rf,arc_challenge_llama8b,0.6040100250626566,0.7386448295779704,0.03928360109510892,0.6335616438356164,0.683083511777302,0.6631779257849667,,1168
C+rec+structural_ph,rf,arc_challenge_qwen7b,0.643825311942959,0.7916408055511874,0.060761843039754126,0.7047210300429184,0.7521459227467812,0.732824427480916,,1165
C+rec+structural_ph,rf,gpqa_diamond_llama8b,0.6547701547701548,0.5606234016446847,0.08238720594259796,0.6296296296296297,0.4503311258278146,0.4294117647058823,,189
C+rec+structural_ph,rf,gpqa_diamond_qwen7b,0.7370557261957,0.6685133280819919,0.12430206674616785,0.6927083333333334,0.49673202614379086,0.4883720930232558,,192
C+rec+structural_ph,rf,gsm8k_llama8b,0.5823789505883881,0.5328388177910105,0.033700442375153475,0.5648218347232752,0.4834123222748815,0.468407750631845,,1319
C+rec+structural_ph,rf,gsm8k_qwen7b,0.6709573969976221,0.8061929495897207,0.1418832796251285,0.6251896813353566,0.722011385199241,0.6913996627318718,,1318
C+rec+structural_ph,rf,math500_llama8b,0.6160664819944598,0.7023226545693773,0.06021427734178084,0.6214574898785425,0.6506329113924051,0.6441441441441441,,494
C+rec+structural_ph,rf,math500_qwen7b,0.6119876349913685,0.7923971371230081,0.08176761659567724,0.7034068136272545,0.7543859649122807,0.7438752783964365,,499
C+rec+structural_ph,xgb,arc_challenge_llama8b,0.5667549889026859,0.7185752358220026,0.09164011028710088,0.610445205479452,0.6723768736616702,0.659372026641294,,1168
C+rec+structural_ph,xgb,arc_challenge_qwen7b,0.6195472370766488,0.7887356371926489,0.08093502133956794,0.6841201716738198,0.7435622317596566,0.7309160305343512,,1165
C+rec+structural_ph,xgb,gpqa_diamond_llama8b,0.6416031416031416,0.5692114407576211,0.14713596619626199,0.6455026455026455,0.4304635761589404,0.4294117647058823,,189
C+rec+structural_ph,xgb,gpqa_diamond_qwen7b,0.7095217200526547,0.6571123943732803,0.15356083804605683,0.6979166666666666,0.5163398692810458,0.4941860465116279,,192
C+rec+structural_ph,xgb,gsm8k_llama8b,0.5832618801533193,0.5388758148849719,0.05884074640599411,0.5708870356330553,0.46919431279620855,0.4625105307497894,,1319
C+rec+structural_ph,xgb,gsm8k_qwen7b,0.6615380188701454,0.797337912308567,0.16084190376091617,0.5978755690440061,0.7125237191650854,0.688026981450253,,1318
C+rec+structural_ph,xgb,math500_llama8b,0.61428324099723,0.7003857170900153,0.13243554494822557,0.6012145748987854,0.660759493670886,0.6418918918918919,,494
C+rec+structural_ph,xgb,math500_qwen7b,0.5777831305953671,0.7615729323111002,0.12857419379309332,0.6773547094188377,0.7493734335839599,0.7461024498886414,,499
ROUTE_A_FULL,lr,arc_challenge_llama8b,0.5678402768950985,0.6977302596870212,0.13339145195029595,0.5873287671232876,0.6798715203426124,0.6669838249286394,,1168
ROUTE_A_FULL,lr,arc_challenge_qwen7b,0.6420926916221034,0.7914401914376943,0.11963151202729104,0.671244635193133,0.75,0.7347328244274809,,1165
ROUTE_A_FULL,lr,gpqa_diamond_llama8b,0.6368676368676369,0.4868350951866021,0.2175511157420741,0.5978835978835979,0.4503311258278146,0.43529411764705883,,189
ROUTE_A_FULL,lr,gpqa_diamond_qwen7b,0.6996489688459852,0.6018450423681561,0.12813207387826867,0.6614583333333334,0.5032679738562091,0.47093023255813954,,192
ROUTE_A_FULL,lr,gsm8k_llama8b,0.5978962638870221,0.5407771688151761,0.02725753042539067,0.5815011372251706,0.4890995260663507,0.472620050547599,,1319
ROUTE_A_FULL,lr,gsm8k_qwen7b,0.6743605102838892,0.80533970674177,0.18774160352304062,0.5576631259484067,0.722011385199241,0.6956155143338955,,1318
ROUTE_A_FULL,lr,math500_llama8b,0.6136772853185596,0.6839884885517877,0.1329433865344311,0.6052631578947368,0.6506329113924051,0.6463963963963963,,494
ROUTE_A_FULL,lr,math500_qwen7b,0.6116865390019672,0.7839102201517572,0.11743171147118885,0.687374749498998,0.7593984962406015,0.7483296213808464,,499
ROUTE_A_FULL,rf,arc_challenge_llama8b,0.5990105302267372,0.734731435101113,0.04191240372314844,0.6378424657534246,0.684154175588865,0.6660323501427212,,1168
ROUTE_A_FULL,rf,arc_challenge_qwen7b,0.6565133689839572,0.7999851088354235,0.06145538190147908,0.7150214592274678,0.7553648068669528,0.7356870229007634,,1165
ROUTE_A_FULL,rf,gpqa_diamond_llama8b,0.6615846615846616,0.5888987510711637,0.09442038601510741,0.6507936507936508,0.44370860927152317,0.4235294117647059,,189
ROUTE_A_FULL,rf,gpqa_diamond_qwen7b,0.752303641948223,0.6785041249757604,0.1063904253145059,0.703125,0.5294117647058824,0.4883720930232558,,192
ROUTE_A_FULL,rf,gsm8k_llama8b,0.5857275942139146,0.5320848177379204,0.041361668023582314,0.5579984836997726,0.4843601895734597,0.4717775905644482,,1319
ROUTE_A_FULL,rf,gsm8k_qwen7b,0.6720324773670733,0.808081871367136,0.15409156459642293,0.5971168437025797,0.7172675521821632,0.6981450252951096,,1318
ROUTE_A_FULL,rf,math500_llama8b,0.6006578947368421,0.6824858161092136,0.07172417299829512,0.5870445344129555,0.6455696202531646,0.6463963963963963,,494
ROUTE_A_FULL,rf,math500_qwen7b,0.632843550523907,0.7995982906598442,0.0664103617051799,0.7154308617234469,0.7568922305764411,0.7483296213808464,,499
ROUTE_A_FULL,xgb,arc_challenge_llama8b,0.574619252943803,0.7180297615351643,0.09401121982437088,0.6181506849315068,0.6788008565310493,0.6679352997145576,,1168
ROUTE_A_FULL,xgb,arc_challenge_qwen7b,0.6274367201426025,0.7836911114393155,0.08269426130685681,0.6789699570815451,0.7414163090128756,0.7337786259541985,,1165
ROUTE_A_FULL,xgb,gpqa_diamond_llama8b,0.637907137907138,0.5436825048564791,0.14361175958796468,0.6137566137566137,0.45695364238410596,0.4294117647058823,,189
ROUTE_A_FULL,xgb,gpqa_diamond_qwen7b,0.7148968845985081,0.6475507121243529,0.11283468300825918,0.6875,0.5032679738562091,0.47674418604651164,,192
ROUTE_A_FULL,xgb,gsm8k_llama8b,0.5978105200710051,0.5487549253299102,0.045522904355386785,0.5837755875663382,0.4890995260663507,0.4700926705981466,,1319
ROUTE_A_FULL,xgb,gsm8k_qwen7b,0.6692754586094058,0.8046343224549444,0.15527572325672476,0.6001517450682853,0.7144212523719166,0.6913996627318718,,1318
ROUTE_A_FULL,xgb,math500_llama8b,0.609729916897507,0.6922424400566254,0.1153371157614808,0.611336032388664,0.6531645569620254,0.6441441441441441,,494
ROUTE_A_FULL,xgb,math500_qwen7b,0.6068288570396242,0.7732412153700622,0.08301994004445465,0.7154308617234469,0.7669172932330827,0.7505567928730512,,499
ROUTE_A_FULL+shapelet,lr,arc_challenge_llama8b,0.5673644449224492,0.6963247107126955,0.12290792297771486,0.6018835616438356,0.6788008565310493,0.665080875356803,,1168
ROUTE_A_FULL+shapelet,lr,arc_challenge_qwen7b,0.6364206773618538,0.7872855652232151,0.11859946550970274,0.6738197424892703,0.7489270386266095,0.732824427480916,,1165
